AuthorLast,AuthorInit,Title,Subtitle,CoverLink,TOCLink,AmazonHardback,AmazonPaperback,AmazonKindle

Kurschner,A,Antichrist Before the Day of the Lord,What Every Christian Needs to Know About the Return of Christ,0985363304,9780985363307 H,0985363312,9780985363314 P,B00J43PJGY,9780985363345 K

Kurschner,A,Pretrib,Examining the Foundations of Pretribulation Rapture Theology,0985363398,9780985363390 P,B0BJH7971Q,9798986157207 K

Kurschner,A,Prewrath,A Very Short Introduction to the Great Tribulation, Rapture, and Day of the Lord,0985363320,9780985363321 P,B012ELLMCC,9780985363338 K
