episode_number,title,page_url,mp3_url,transcript_url
461,Honoring Dr Michael S Heiser Part 3,https://nakedbiblepodcast.com/podcast/naked-bible-461-honoring-dr-michael-s-heiser-part-3/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3689/naked-bible-461-honoring-dr-michael-s-heiser-part-3.mp3?ref=download,
460,Honoring Dr Michael S Heiser Part 2,https://nakedbiblepodcast.com/podcast/naked-bible-460-honoring-dr-michael-s-heiser-part-2/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3649/naked-bible-460-honoring-dr-michael-s-heiser-part-2.mp3?ref=download,
459,Honoring Dr Michael S Heiser,https://nakedbiblepodcast.com/podcast/naked-bible-459-honoring-dr-michael-s-heiser/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3530/naked-bible-459-honoring-dr-michael-s-heiser.mp3?ref=download,
458,1 Samuel 13 14,https://nakedbiblepodcast.com/podcast/naked-bible-458-1-samuel-13-14/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3469/naked-bible-458-1-samuel-13-14.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2023/01/NB-458-Transcript.pdf
457,1 Samuel 12,https://nakedbiblepodcast.com/podcast/naked-bible-457-1-samuel-12/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3460/naked-bible-457-1-samuel-12.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2023/01/NB-457-Transcript.pdf
456,1 Samuel 11,https://nakedbiblepodcast.com/podcast/naked-bible-456-1-samuel-11/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3455/naked-bible-456-1-samuel-11.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/NB-456-Transcript.pdf
455,1 Samuel 8 10 Part 2,https://nakedbiblepodcast.com/podcast/naked-bible-455-1-samuel-8-10-part-2/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3453/naked-bible-455-1-samuel-8-10-part-2.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/NB-455-Transcript.pdf
454,1 Samuel 8 10 Part 1,https://nakedbiblepodcast.com/podcast/naked-bible-454-1-samuel-8-10-part-1/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3450/naked-bible-454-1-samuel-8-10-part-1.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/NB-454-Transcript.pdf
453,1 Samuel 7,https://nakedbiblepodcast.com/podcast/naked-bible-453-1-samuel-7/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3443/naked-bible-453-1-samuel-7.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/NB-453-Transcript.pdf
452,Counterfeit Kingdom,https://nakedbiblepodcast.com/podcast/naked-bible-452-counterfeit-kingdom/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3437/naked-bible-452-counterfeit-kingdom.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/NB-452-Transcript-.pdf
451,1 Samuel 5 6,https://nakedbiblepodcast.com/podcast/naked-bible-451-1-samuel-5-6/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3435/naked-bible-451-1-samuel-5-6.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/NB-451-Transcript.pdf
450,1 Samuel 4,https://nakedbiblepodcast.com/podcast/naked-bible-450-1-samuel-4/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3429/naked-bible-450-1-samuel-4.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/NB-450-Transcript.pdf
449,1 Samuel 3,https://nakedbiblepodcast.com/podcast/naked-bible-449-1-samuel-3/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3424/naked-bible-449-1-samuel-3.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/NB-449-Transcript.pdf
448,1 Samuel 212 36,https://nakedbiblepodcast.com/podcast/naked-bible-448-1-samuel-212-36/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3416/naked-bible-448-1-samuel-212-36.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/NB-448-Transcript.pdf
447,1 Samuel 11 211,https://nakedbiblepodcast.com/podcast/naked-bible-447-1-samuel-11-211/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3415/naked-bible-447-1-samuel-11-211.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/NB-447-Transcript.pdf
446,1 Samuel Introduction,https://nakedbiblepodcast.com/podcast/naked-bible-446-1-samuel-introduction/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3408/naked-bible-446-1-samuel-introduction.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/NB-446-Transcript.pdf
445,Qa 57,https://nakedbiblepodcast.com/podcast/naked-bible-445-qa-57/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3390/naked-bible-445-qa-57.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2022/10/NB-445-Transcript.pdf
444,Qa 56,https://nakedbiblepodcast.com/podcast/naked-bible-444-qa-56/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3389/naked-bible-444-qa-56.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2022/09/NB-444-Transcript.pdf
443,Jude Qa Part 2,https://nakedbiblepodcast.com/podcast/naked-bible-443-jude-qa-part-2/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3388/naked-bible-443-jude-qa-part-2.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2022/09/NB-443-Transcript.pdf
442,Jude Qa Part 1,https://nakedbiblepodcast.com/podcast/naked-bible-442-jude-qa-part-1/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3385/naked-bible-442-jude-qa-part-1.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2022/09/NB-442-Transcript.pdf
441,The Afterlife Part 2,https://nakedbiblepodcast.com/podcast/naked-bible-441-the-afterlife-part-2/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3384/naked-bible-441-the-afterlife-part-2.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2022/09/NB-441-Transcript.pdf
440,The Afterlife Part 1,https://nakedbiblepodcast.com/podcast/naked-bible-440-the-afterlife-part-1/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3383/naked-bible-440-the-afterlife-part-1.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2022/09/NB-440-Transcript.pdf
439,The Epistle Of Jude Part 8,https://nakedbiblepodcast.com/podcast/naked-bible-439-the-epistle-of-jude-part-8/,https://dts.podtrac.com/redirect.mp3/nakedbiblepodcast.com/podcast-download/3377/naked-bible-439-the-epistle-of-jude-part-8.mp3?ref=download,https://nakedbiblepodcast.com/wp-content/uploads/2022/08/NB-439-Transcript.pdf
