Episode,Title,Author_Last,Author_Init,Duration,MP3_URL,Transcript_URL,Topics
225,"Introducing the Book of Colossians",Heiser,MS,1:07:28,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-225.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-225.pdf,introducing colossians
224,"The Falling Away and the Restrainer",Heiser,MS,1:09:02,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-224.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-224.pdf,falling away restrainer
223,"Q&A 31",Heiser,MS,43:03,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-223.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-223.pdf,q&a
222,"Trees and Kings with Rusty Osborne",Heiser,MS,1:09:39,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-222.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-222.pdf,trees kings rusty osborne
221,"Baptism for the Dead",Heiser,MS,1:03:05,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-221.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-221.pdf,baptism dead
220,"Q&A 30",Heiser,MS,36:24,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-220.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-220.pdf,q&a
219,"Q&A 29",Heiser,MS,32:01,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-219.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-219.pdf,q&a
218,"Authorship and Date of the Book of Job",Heiser,MS,1:06:03,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-218.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-218.pdf,authorship date job
217,"Authorship and Date of the Book of Isaiah",Heiser,MS,1:24:40,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-217.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-217.pdf,authorship date isaiah
216,"Q&A 28",Heiser,MS,27:47,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-216.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-216.pdf,q&a
215,"Q&A 27",Heiser,MS,36:13,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-215.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-215.pdf,q&a
214,"Authorship and Date of Deuteronomy",Heiser,MS,1:05:15,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-214.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-214.pdf,authorship date deuteronomy
213,"Q&A 26",Heiser,MS,35:48,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-213.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-213.pdf,q&a
212,"Q&A 25",Heiser,MS,42:15,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-212.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-212.pdf,q&a
211,"Authorship and Date of the Pentateuch Part 2",Heiser,MS,1:14:26,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-211.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-211.pdf,authorship date pentateuch
210,"Authorship and Date of the Pentateuch Part 1",Heiser,MS,1:23:52,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-210.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-210.pdf,authorship date pentateuch
209,"Q&A 24",Heiser,MS,34:37,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-209.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-209.pdf,q&a
208,"Q&A 23",Heiser,MS,34:35,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-208.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-208.pdf,q&a
207,"The Messianic Secret in Mark",Heiser,MS,1:09:49,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-207.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-207.pdf,messianic secret mark
206,"Q&A 22",Heiser,MS,33:34,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-206.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-206.pdf,q&a
205,"Q&A 21",Heiser,MS,40:10,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-205.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-205.pdf,q&a
204,"The Supernatural Worldview",Heiser,MS,1:11:06,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-204.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-204.pdf,supernatural worldview
203,"Q&A 20",Heiser,MS,34:56,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-203.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-203.pdf,q&a
202,"Psalm 110 and Ancient Near Eastern Kingship Ideology",Heiser,MS,1:14:24,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-202.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-202.pdf,psalm 110 ancient near eastern kingship
201,"Interpreting Bible Prophecy",Heiser,MS,1:05:46,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-201.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-201.pdf,interpreting bible prophecy
200,"Ezekiel 40-48",Heiser,MS,1:07:50,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-200.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-200.pdf,ezekiel
199,"Ezekiel 38-39",Heiser,MS,1:08:59,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-199.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-199.pdf,ezekiel
198,"Ezekiel 37",Heiser,MS,1:01:27,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-198.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-198.pdf,ezekiel
197,"Ezekiel 36",Heiser,MS,1:10:00,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-197.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-197.pdf,ezekiel
196,"Q&A 29",Heiser,MS,34:48,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-196.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-196.pdf,q&a
195,"Q&A 28",Heiser,MS,29:40,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-195.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-195.pdf,q&a
194,"Q&A 27",Heiser,MS,24:32,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-194.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-194.pdf,q&a
193,"Q&A 26",Heiser,MS,19:24,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-193.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-193.pdf,q&a
192,"Q&A 25",Heiser,MS,14:16,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-192.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-192.pdf,q&a
191,"Q&A 24",Heiser,MS,09:08,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-191.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-191.pdf,q&a
190,"Q&A 23",Heiser,MS,04:00,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-190.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-190.pdf,q&a
189,"Q&A 22",Heiser,MS,58:52,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-189.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-189.pdf,q&a
188,"Q&A 21",Heiser,MS,53:44,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-188.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-188.pdf,q&a
187,"Q&A 20",Heiser,MS,48:36,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-187.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-187.pdf,q&a
186,"Q&A 19",Heiser,MS,43:28,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-186.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-186.pdf,q&a
185,"Q&A 18",Heiser,MS,38:20,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-185.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-185.pdf,q&a
184,"Q&A 17",Heiser,MS,33:12,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-184.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-184.pdf,q&a
183,"Q&A 16",Heiser,MS,28:04,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-183.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-183.pdf,q&a
182,"Q&A 15",Heiser,MS,22:56,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-182.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-182.pdf,q&a
181,"Q&A 14",Heiser,MS,17:48,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-181.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-181.pdf,q&a
180,"Q&A 13",Heiser,MS,12:40,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-180.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-180.pdf,q&a
179,"Q&A 12",Heiser,MS,07:32,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-179.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-179.pdf,q&a
178,"Q&A 11",Heiser,MS,02:24,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-178.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-178.pdf,q&a
177,"Q&A 10",Heiser,MS,57:16,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-177.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-177.pdf,q&a
176,"Q&A 9",Heiser,MS,52:08,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-176.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-176.pdf,q&a
175,"Q&A 8",Heiser,MS,47:00,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-175.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-175.pdf,q&a
174,"Q&A 7",Heiser,MS,41:52,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-174.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-174.pdf,q&a
173,"Q&A 6",Heiser,MS,36:44,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-173.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-173.pdf,q&a
172,"Q&A 5",Heiser,MS,31:36,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-172.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-172.pdf,q&a
171,"Q&A 4",Heiser,MS,26:28,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-171.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-171.pdf,q&a
170,"Q&A 3",Heiser,MS,21:20,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-170.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-170.pdf,q&a
169,"Q&A 2",Heiser,MS,16:12,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-169.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-169.pdf,q&a
168,"Q&A 1",Heiser,MS,11:04,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-168.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/12/Naked-Bible-168.pdf,q&a
167,"The Bible and the Ancient Near East",Heiser,MS,06:56,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-167.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-167.pdf,bible ancient near east
166,"The Unseen Realm - Part 10",Heiser,MS,01:48,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-166.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-166.pdf,unseen realm
165,"The Unseen Realm - Part 9",Heiser,MS,56:40,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-165.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-165.pdf,unseen realm
164,"The Unseen Realm - Part 8",Heiser,MS,51:32,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-164.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-164.pdf,unseen realm
163,"The Unseen Realm - Part 7",Heiser,MS,46:24,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-163.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-163.pdf,unseen realm
162,"The Unseen Realm - Part 6",Heiser,MS,41:16,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-162.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-162.pdf,unseen realm
161,"The Unseen Realm - Part 5",Heiser,MS,36:08,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-161.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-161.pdf,unseen realm
160,"The Unseen Realm - Part 4",Heiser,MS,31:00,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-160.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-160.pdf,unseen realm
159,"The Unseen Realm - Part 3",Heiser,MS,25:52,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-159.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-159.pdf,unseen realm
158,"The Unseen Realm - Part 2",Heiser,MS,20:44,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-158.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2022/11/Naked-Bible-158.pdf,unseen realm
