AuthorLast,AuthorInit,Title,Subtitle,CoverLink,TOCLink,Genre,Category,Textbook,AmazonHardback,AmazonPaperback,AmazonKindle
Heiser,M S,The Unseen Realm,Recovering the Supernatural Worldview of the Bible,heiser-m-s-unseen-realm-9781577995574.jpg,Unseen Realm-TOC.pdf,Theology,Divine Council,Yes,https://www.amazon.com/dp/1577995570/?tag=themissiontod-20,,
James,Dr. T,Tree of Life,The Spirit of God from Eden to Paradise to New Jerusalem,james-dr-tim-tree-of-life-2025-9798285942238.jpg,Tree of Life-TOC.pdf,Theology,Creation & Eden,Yes,https://www.amazon.com/dp/B0FBKDKRZM/?tag=themissiontod-20,https://www.amazon.com/dp/B0FB8GP9JG/?tag=themissiontod-20,
James,Dr. T,The Day of the Lord Vol 2,The Book of Revelation,james-dr-tim-day-of-the-lord-v2-2025-9798263713393.jpg,The Day of the Lord Vol 2-TOC.pdf,Theology,Eschatology,Yes,https://www.amazon.com/dp/B0FPRLC8SJ/?tag=themissiontod-20,https://www.amazon.com/dp/B0FPLSWL3W/?tag=themissiontod-20,
